id_empleado,com_claridad,com_escucha_activa,com_retroalimentacion,col_participacion,col_apoyo_companeros,col_cumplimiento_acuerdos,res_manejo_tension,res_busqueda_acuerdos,res_mediacion,ada_flexibilidad,ada_tolerancia_incertidumbre,ada_aprendizaje_continuo
275,4.2,2.3,6.8,3.8,3.4,5.3,5.5,5.5,7.7,8.7,7.9,8.9
276,4.2,8.5,4.6,5.5,3.7,6.5,5.1,6.2,5.4,6.6,7.1,9.4
277,6.5,4.5,3.2,6.9,7.2,6.3,4.7,4.1,3.2,4.4,4.0,2.5
278,4.2,3.4,3.9,6.7,3.7,5.2,6.4,2.9,5.2,8.5,6.5,7.7
279,5.7,7.4,7.7,8.2,7.0,5.6,5.9,3.9,5.0,5.5,3.3,6.5
280,6.6,9.1,6.0,5.1,5.0,5.0,2.4,5.7,3.8,5.8,1.8,3.4
281,6.2,7.9,4.7,5.3,7.4,6.4,5.2,4.1,3.1,3.8,5.0,5.9
282,7.1,6.2,4.0,3.6,3.3,6.2,6.8,5.2,8.0,8.4,8.7,8.7
283,1.3,6.3,6.1,4.9,5.8,5.9,5.8,6.9,4.7,7.8,6.3,8.7
284,9.5,9.2,8.5,8.9,9.3,8.5,8.3,7.6,7.8,7.3,9.2,9.0
285,6.7,6.5,4.4,6.5,4.0,4.9,7.3,3.3,6.6,8.8,10.0,8.2
286,6.6,8.6,7.6,8.4,9.2,9.2,8.9,8.1,6.0,7.2,7.9,8.7
287,4.5,5.6,4.2,4.8,5.4,4.4,4.5,4.8,6.4,8.1,7.4,8.5
288,4.5,5.4,3.4,5.4,4.2,6.9,7.1,4.1,4.4,7.6,10.0,7.9
289,7.2,7.5,9.6,7.8,7.8,8.1,7.9,8.0,8.7,8.8,6.6,8.9
290,3.9,5.1,4.3,7.9,2.3,5.1,6.1,6.2,4.5,10.0,8.0,8.6
291,7.5,6.6,9.2,7.2,9.0,7.8,8.1,8.2,8.6,7.1,8.1,8.5
292,10.0,8.2,9.5,8.6,7.3,8.4,7.8,8.5,9.0,6.6,9.2,7.6
293,7.5,5.0,7.3,8.7,6.6,7.8,5.9,7.2,5.2,4.3,4.5,6.5
294,6.8,4.1,4.2,5.2,4.6,6.6,5.9,5.0,6.1,8.5,7.5,9.4
295,9.1,8.5,8.4,8.3,9.3,9.5,6.9,8.5,7.5,8.5,6.9,9.4
296,3.4,7.3,4.8,4.7,4.6,6.6,5.5,4.8,5.1,8.1,7.7,8.6
297,5.9,7.3,4.8,6.1,6.1,5.7,4.5,3.2,6.1,4.2,2.5,1.9
298,8.9,6.7,8.3,9.6,9.4,8.6,9.2,7.7,7.0,8.6,7.9,10.0
299,3.3,4.2,3.0,2.3,5.5,5.1,6.8,4.8,4.5,9.4,7.4,8.8
300,9.1,9.2,9.2,9.7,9.0,9.7,7.1,8.5,8.5,6.5,6.4,8.0
301,8.3,7.3,7.5,7.4,9.1,8.0,10.0,10.0,6.9,8.0,9.2,8.9
302,4.5,5.2,5.1,4.9,2.9,7.1,6.3,4.5,4.6,8.7,7.5,9.6
303,6.0,6.2,5.2,4.6,6.1,7.1,7.7,4.9,3.9,7.7,6.7,8.8
304,5.6,4.2,4.4,6.0,5.9,8.2,5.8,5.4,5.2,10.0,7.8,9.7
305,6.1,6.3,6.8,4.4,5.4,6.4,4.9,5.1,3.9,3.7,4.1,5.8
306,7.8,4.6,5.4,6.9,6.2,7.5,5.4,4.9,4.3,4.4,1.4,2.8
307,3.5,4.7,6.1,7.8,4.9,8.7,7.6,7.3,7.0,9.0,8.3,8.3
308,5.9,5.9,2.8,3.4,4.8,5.3,7.4,2.1,6.5,8.0,7.0,9.5
309,7.2,4.3,6.2,6.5,6.9,5.3,5.4,1.0,3.7,2.1,6.6,1.0
310,8.2,8.7,9.9,8.0,10.0,7.5,7.7,7.8,7.6,7.9,8.4,8.5
311,5.5,5.5,3.3,5.8,6.5,6.9,5.3,7.0,6.5,9.4,7.6,7.8
312,7.4,8.9,7.3,8.5,7.5,7.5,8.3,6.8,9.2,8.0,7.2,8.2
313,9.3,8.5,8.5,8.0,9.3,8.5,8.9,5.5,7.9,7.5,7.8,8.4
314,6.3,7.8,6.2,6.9,8.0,7.2,3.9,5.4,3.3,5.7,4.9,3.8
315,5.9,6.4,6.5,8.5,6.9,7.0,5.7,4.9,2.6,4.1,4.0,3.5
316,6.5,4.9,5.5,5.0,6.5,6.5,7.9,4.0,3.9,8.0,7.8,8.0
317,4.0,5.7,5.8,6.1,7.8,6.3,4.8,4.1,6.7,8.6,8.1,10.0
318,7.2,8.8,9.1,7.5,9.6,9.7,7.2,7.3,8.4,9.0,7.3,10.0
319,7.1,8.3,8.4,7.7,8.9,8.1,7.9,8.3,8.4,10.0,7.6,7.7
320,9.0,8.3,7.8,8.9,9.6,8.3,8.3,7.6,7.7,9.0,5.8,9.9
321,3.2,4.6,5.8,7.1,5.2,5.1,5.3,6.2,7.6,9.5,9.0,8.5
322,8.4,5.4,8.5,6.7,6.5,7.6,6.1,1.0,3.3,3.8,4.4,4.5
323,2.1,3.7,4.6,4.8,4.5,7.1,6.6,4.3,7.0,7.6,7.2,8.8
324,10.0,10.0,7.0,8.5,10.0,9.1,8.0,7.2,7.8,8.4,9.8,8.1
325,6.7,4.7,7.4,4.8,5.6,8.0,2.2,4.1,3.1,4.6,4.1,5.7
326,6.4,5.4,5.8,7.0,8.2,5.6,2.4,3.7,4.8,3.1,2.4,4.5
327,4.2,4.6,1.5,6.3,5.7,8.0,6.4,6.6,6.3,8.3,8.9,8.5
328,5.6,6.7,6.1,4.6,3.0,7.8,3.2,2.9,6.3,8.9,8.4,7.9
329,4.9,5.1,4.0,4.6,5.5,6.9,7.3,5.6,5.9,8.8,8.4,8.2
330,9.5,9.5,7.9,8.7,6.8,10.0,7.8,8.7,7.8,8.8,7.5,7.3
331,5.2,4.6,5.3,4.6,5.9,4.0,10.0,8.1,8.9,8.8,8.5,8.8
332,6.7,6.5,6.2,6.2,7.5,6.3,7.4,3.8,5.7,3.8,3.6,2.6
333,8.2,7.5,8.7,10.0,8.2,8.3,7.8,8.5,8.6,7.8,8.5,8.4
334,8.4,10.0,7.6,8.3,8.8,9.3,7.9,6.6,7.9,7.2,6.0,9.7
335,8.8,7.1,8.5,8.2,10.0,8.1,9.0,6.0,8.9,9.9,7.5,9.6
336,7.0,8.6,7.7,8.0,8.2,9.3,9.7,9.0,8.4,8.3,9.6,8.6
337,5.0,7.0,7.0,7.2,5.3,8.2,1.9,4.5,4.0,4.2,2.8,4.2
338,7.3,6.7,6.8,6.1,8.1,7.5,1.7,6.3,3.6,3.3,3.1,6.9
339,5.2,5.3,3.4,4.4,7.7,6.3,5.2,3.6,5.7,10.0,7.6,9.2
340,8.3,8.2,9.1,9.6,8.7,8.1,8.6,8.7,4.3,7.3,6.7,8.3
341,5.0,5.6,4.0,7.0,6.4,5.0,6.6,8.1,6.1,8.1,5.8,7.8
342,5.5,5.3,6.0,4.4,6.9,7.5,7.4,6.1,5.2,8.9,7.8,9.1
343,8.0,9.3,8.4,7.0,8.0,9.3,6.8,8.4,9.6,8.8,8.0,9.3
344,3.9,8.4,7.6,6.5,4.3,6.0,3.0,5.5,5.8,9.4,7.9,8.4
345,5.3,4.8,4.5,4.3,6.7,5.5,7.1,3.3,4.3,10.0,7.9,9.0
346,3.6,3.7,4.3,6.2,7.4,3.6,4.9,7.4,5.7,9.0,8.0,8.5
347,5.6,5.4,4.8,2.6,5.8,4.7,3.4,4.6,4.4,7.5,9.0,8.7
348,7.0,10.0,7.7,9.2,7.9,10.0,8.1,8.7,8.3,8.1,7.7,6.6
349,6.4,4.5,6.0,3.6,7.8,4.5,7.0,3.3,6.2,8.8,7.4,8.6
350,5.7,7.6,2.4,6.1,4.3,6.2,5.8,3.8,7.0,10.0,7.7,9.5
351,5.4,7.7,3.2,5.2,4.5,7.2,5.4,7.5,4.8,7.2,8.6,8.4
352,7.6,5.5,4.6,5.2,6.9,5.5,4.0,4.0,4.0,6.1,6.1,4.4
353,7.3,6.2,6.2,4.7,7.2,6.2,5.5,7.5,4.0,8.7,7.4,8.3
354,9.4,9.9,9.7,9.0,9.5,9.5,6.7,8.1,8.6,9.1,8.0,8.9
355,6.8,7.9,7.9,8.6,9.1,8.8,7.3,6.5,8.4,8.2,8.2,8.4
356,3.2,5.2,4.5,6.0,5.6,9.4,6.7,6.7,6.4,7.7,7.0,8.1
357,7.9,7.7,8.1,10.0,8.7,7.6,8.3,7.7,7.8,9.0,7.9,9.7
358,5.0,4.2,6.5,3.2,5.8,7.3,6.2,6.5,6.3,9.1,6.5,9.5
359,7.1,5.4,4.8,8.2,3.7,6.6,2.8,4.5,6.2,5.8,1.3,3.5
360,4.0,3.9,5.2,5.3,4.6,6.9,5.8,3.3,5.4,8.5,8.4,9.1
361,5.3,5.5,6.3,4.0,5.3,6.5,3.2,5.7,6.0,8.0,7.6,9.2
362,3.9,4.5,5.6,3.5,3.4,5.1,6.2,8.6,4.4,7.1,8.2,9.2
363,4.1,5.8,5.1,5.0,5.5,6.3,7.9,6.2,4.7,9.2,8.0,7.6
364,3.0,3.5,6.3,6.4,4.7,3.8,4.1,5.4,5.9,8.9,7.0,9.5
365,5.5,6.6,2.5,6.1,8.4,7.4,3.4,6.1,5.5,3.2,3.9,3.5
366,3.1,6.6,5.8,7.2,7.2,6.4,6.4,5.8,5.5,8.0,6.8,8.5
367,5.4,3.8,5.1,4.6,6.0,7.4,6.0,4.8,3.7,3.9,6.1,8.0
368,7.7,6.6,3.6,6.3,6.3,7.9,3.6,2.9,3.4,2.6,2.0,4.7
369,7.6,9.5,8.5,7.5,8.6,9.1,7.3,8.4,7.2,7.6,7.7,8.3
370,10.0,7.1,9.4,8.8,8.3,8.9,6.0,9.1,8.1,7.3,6.9,6.8
371,8.9,10.0,7.9,9.2,8.9,8.2,8.1,7.4,6.2,7.9,8.5,9.7
372,8.7,8.7,9.0,8.2,8.0,8.3,10.0,9.5,9.2,7.6,7.6,7.5
373,7.7,7.6,9.6,6.4,7.7,9.6,8.3,8.1,7.1,6.8,7.4,7.8
374,6.0,5.4,6.8,5.5,5.9,7.7,6.0,4.3,6.7,10.0,8.9,8.6
375,8.0,8.9,9.6,8.8,9.3,8.6,8.3,9.1,6.4,9.4,7.9,9.7
376,5.2,5.6,5.9,5.7,3.9,6.1,6.0,5.1,6.7,7.8,8.5,9.3
377,9.3,6.8,6.1,7.8,7.5,5.9,3.1,5.6,4.9,4.9,2.5,4.1
378,8.4,7.4,6.4,7.6,8.1,9.6,8.8,7.9,8.2,8.7,6.5,8.8
379,7.8,6.4,5.7,7.1,6.8,7.5,4.5,4.4,2.6,6.0,4.2,3.5
380,7.9,6.9,7.2,9.5,9.4,10.0,8.0,8.6,8.1,7.6,7.6,8.7
381,8.5,8.2,10.0,7.1,8.7,8.2,7.0,8.5,6.5,9.3,8.5,8.7
382,7.5,4.3,4.5,5.6,5.6,5.5,7.7,2.7,5.5,8.0,7.9,9.5
383,4.1,4.5,5.0,4.5,4.3,6.3,6.9,3.9,7.1,7.3,8.2,9.5
384,8.5,7.7,6.7,6.2,6.3,7.4,3.4,5.9,5.1,5.4,1.6,5.0
385,7.3,7.5,6.1,6.7,6.3,6.6,5.6,4.3,4.0,6.2,6.8,3.8
386,5.9,6.9,8.2,5.7,5.7,5.9,3.5,3.7,2.6,7.9,3.8,5.3
387,9.1,7.2,7.4,8.0,8.5,9.4,7.2,7.0,8.5,7.2,8.6,8.5
388,9.4,8.0,8.2,8.5,7.3,9.3,7.2,7.2,7.8,8.9,7.1,7.7
389,7.2,7.7,5.0,5.0,6.0,5.9,1.7,1.5,1.0,4.0,4.5,3.7
390,4.8,6.4,4.3,5.0,6.2,8.2,4.9,4.3,5.1,5.5,2.0,4.4
391,5.7,9.0,5.2,7.1,6.2,8.0,1.6,3.6,4.0,2.6,4.7,5.6
392,4.7,6.0,4.7,3.7,4.7,6.2,4.4,4.1,7.4,7.4,7.6,8.7
393,4.9,5.7,4.2,6.1,4.9,6.1,3.3,5.4,4.4,7.8,8.0,8.0
394,7.2,5.8,5.1,6.9,7.0,7.4,4.1,5.0,1.0,4.6,5.0,4.4
395,5.2,5.7,2.7,3.0,6.2,5.0,5.8,8.4,6.2,7.9,6.8,8.9
396,5.0,6.0,5.9,5.5,5.8,6.8,3.7,2.2,4.4,5.4,3.0,4.6
397,6.9,7.0,4.0,7.7,5.2,4.6,2.7,6.2,1.6,5.8,4.7,5.6
398,5.9,6.7,5.9,3.9,3.5,7.1,4.5,6.9,4.5,9.0,10.0,9.5
399,7.1,5.3,6.1,5.7,6.0,5.2,4.9,3.3,7.9,6.6,3.8,3.5
400,7.7,4.6,4.1,6.9,6.1,8.3,3.4,4.8,3.6,5.0,4.9,3.4
401,9.3,6.5,7.7,9.1,8.0,8.6,8.3,7.8,8.6,7.2,7.8,7.8
402,7.0,6.8,5.0,6.0,5.1,6.6,3.0,4.8,3.1,6.3,6.9,5.3
403,4.9,4.1,5.3,4.4,4.4,5.2,6.2,7.6,3.1,8.0,6.3,9.8
404,4.7,3.6,7.7,8.0,6.7,6.5,6.0,5.4,3.8,5.7,4.1,3.9
405,5.6,6.0,2.0,7.5,5.8,7.7,6.8,6.2,5.5,9.9,6.4,8.6
406,6.7,9.2,6.1,7.5,5.9,4.3,3.6,3.9,3.4,5.1,1.0,6.4
407,5.4,5.5,4.6,5.3,4.4,7.5,6.3,3.4,5.7,7.2,8.3,9.2
408,7.4,9.1,8.7,7.9,7.9,9.0,7.8,8.0,8.1,7.5,8.0,8.9
409,5.3,6.3,6.3,5.3,6.5,5.6,4.2,6.3,3.8,6.2,3.6,2.6
410,9.4,8.2,7.2,8.9,7.9,8.0,7.7,6.8,6.4,8.1,7.8,9.1
411,4.9,6.7,4.3,5.7,5.8,8.0,5.8,4.0,6.4,8.6,10.0,8.1
412,7.2,5.9,5.0,8.0,4.5,5.9,4.5,4.7,1.3,5.5,3.6,2.7
413,6.5,6.5,7.4,7.1,6.1,5.6,2.8,3.0,1.1,5.4,4.8,3.8
414,5.0,5.9,4.8,3.2,5.4,7.4,4.7,4.4,6.8,8.8,7.4,8.4
415,6.3,4.6,7.7,6.6,5.3,6.4,4.2,4.9,6.5,8.3,8.3,8.6
416,4.3,6.8,4.7,3.9,8.8,4.9,3.9,3.6,5.7,8.2,7.8,7.8
417,8.6,8.1,7.3,8.2,9.0,9.0,6.8,7.3,6.3,9.1,7.5,9.4
418,4.4,4.5,2.5,5.5,3.6,4.8,6.2,6.5,4.9,9.0,9.8,9.6
419,4.4,6.2,2.1,7.8,4.9,7.3,4.8,3.7,5.5,8.3,9.2,7.4
420,6.2,5.1,3.9,10.0,4.5,7.9,4.9,2.1,1.8,5.9,4.2,5.7
421,6.7,6.2,6.3,7.0,6.4,7.3,4.2,3.6,3.0,4.3,1.0,3.2
422,6.0,6.2,6.7,6.1,5.6,7.2,1.4,5.6,4.9,3.4,3.5,5.5
423,9.6,9.4,6.4,8.9,9.5,10.0,8.7,8.0,9.4,7.6,10.0,8.5
424,3.7,6.1,6.1,6.4,4.2,6.0,7.1,4.8,5.3,7.6,7.8,8.8
425,8.3,8.3,7.5,8.2,8.6,8.0,7.0,8.2,8.6,8.1,9.0,8.5
426,4.4,6.6,5.0,7.5,4.1,6.5,6.5,3.1,3.3,9.6,9.4,9.6
427,7.0,7.3,7.2,5.5,7.4,8.5,4.9,6.2,6.7,7.8,8.2,7.9
428,6.7,6.9,7.2,6.9,6.1,5.8,4.3,5.1,2.9,4.7,2.7,5.2
429,6.4,5.5,4.4,6.1,7.6,5.6,4.4,4.9,6.2,7.9,5.6,9.6
430,7.2,7.0,7.1,8.8,9.4,9.1,6.2,9.1,7.5,8.1,8.6,9.2
431,8.7,7.2,5.8,9.2,9.1,8.8,7.6,7.2,9.3,6.9,7.1,10.0
432,7.5,5.8,5.1,5.6,6.9,5.8,4.0,6.2,2.8,4.2,4.3,3.6
433,5.1,4.7,4.5,4.5,5.6,7.3,5.5,5.7,6.6,8.3,6.8,9.5
434,9.5,8.1,7.0,7.6,7.0,10.0,6.8,7.9,7.5,8.8,7.6,8.5
435,8.0,8.4,7.9,8.9,8.4,8.9,7.6,8.2,7.6,8.5,7.9,9.6
436,8.1,6.8,6.1,7.2,7.4,5.9,4.6,4.3,3.7,2.9,4.4,4.3
437,10.0,8.2,7.8,8.9,8.7,7.7,8.0,9.3,6.9,9.3,6.8,8.3
438,6.1,6.8,5.2,8.3,5.0,7.1,4.5,2.9,4.0,4.8,5.8,6.1
439,6.0,6.3,6.2,6.3,6.4,7.9,3.3,3.4,3.9,4.8,3.1,3.6
440,9.8,6.3,8.4,9.0,10.0,9.1,9.2,9.1,8.1,8.3,6.2,7.5
441,9.9,7.4,6.9,7.6,9.8,8.8,6.8,7.7,7.9,7.8,7.8,8.2
442,5.9,6.0,7.8,5.8,6.4,6.2,4.9,5.9,5.1,4.8,4.1,5.2
443,4.4,3.9,4.7,6.1,6.3,4.7,7.5,7.9,7.0,8.9,8.2,9.8
444,4.6,6.3,4.8,6.3,4.5,7.0,6.6,4.9,4.4,6.9,9.4,8.9
445,5.0,8.0,6.9,5.9,4.6,7.7,3.9,5.5,5.2,3.8,3.6,6.1
446,5.5,7.7,6.3,6.2,5.5,5.3,3.5,2.8,2.3,4.2,3.8,2.4
447,5.4,5.9,7.2,4.5,8.2,8.4,5.7,5.6,4.8,4.8,2.3,3.7
448,5.7,8.0,6.4,5.9,6.2,7.4,2.2,4.8,4.9,6.1,5.2,3.9
449,5.0,5.7,3.9,6.4,4.7,7.7,4.7,6.2,3.3,7.8,8.2,8.7
450,8.7,8.0,8.4,9.0,8.4,7.9,7.6,7.6,7.9,7.9,7.5,8.7
451,8.2,5.5,4.5,6.9,8.6,5.4,5.9,2.0,3.3,3.8,1.1,5.3
452,3.6,5.1,5.0,5.3,7.3,5.8,6.5,6.2,4.8,7.8,9.4,8.5
453,6.4,5.0,4.8,5.2,8.1,6.6,4.7,2.6,7.6,8.2,6.8,8.9
454,6.3,6.4,5.7,5.5,6.3,8.6,3.8,4.0,3.1,5.5,3.1,4.2
455,8.5,8.5,7.9,9.1,9.0,9.3,7.4,9.0,6.9,7.4,8.3,7.9
456,5.9,5.5,2.0,5.7,2.9,5.7,5.1,5.8,5.9,8.9,6.8,8.7
457,7.5,8.7,7.5,8.9,10.0,8.1,9.0,10.0,8.6,6.8,6.4,8.5
458,5.5,7.0,4.9,4.5,3.4,7.5,4.2,6.9,5.6,8.0,5.9,8.7
459,8.6,9.2,8.2,6.8,8.9,8.1,9.6,7.6,9.1,8.0,8.6,8.6
460,8.9,6.8,7.0,9.4,7.7,9.9,8.8,8.2,8.4,9.8,7.4,8.7
461,8.8,5.7,9.3,8.1,8.2,8.6,9.1,8.2,5.4,8.1,10.0,8.3
462,8.4,6.7,3.5,4.1,3.8,7.9,5.4,3.3,5.1,6.5,7.0,9.7
463,5.8,4.6,7.3,7.1,5.8,7.5,4.0,3.1,3.2,1.9,2.6,2.7
464,4.3,5.2,5.4,4.7,4.2,5.8,4.1,4.7,6.4,8.5,7.4,8.3
465,5.8,4.8,5.2,7.6,5.9,6.3,3.5,1.4,1.0,5.3,4.4,8.2
466,4.2,3.2,7.5,6.0,6.2,5.6,6.6,5.6,9.1,8.8,7.5,8.1
467,7.9,8.8,6.8,9.0,7.7,9.1,9.3,8.0,8.4,8.5,8.5,7.5
468,7.8,7.1,7.2,4.7,6.7,6.9,2.6,2.0,4.2,6.0,2.5,5.3
469,9.8,7.7,9.0,9.5,9.8,8.4,7.6,8.6,9.1,7.8,6.5,6.9
470,5.9,3.1,5.1,6.6,5.9,6.6,4.0,5.6,7.3,5.7,1.3,4.0
471,7.8,7.8,9.4,8.2,8.1,8.9,6.6,8.4,8.8,6.8,5.7,10.0
472,7.0,6.7,5.7,6.5,6.2,4.7,5.0,4.0,5.3,3.3,3.2,2.1
473,8.0,6.8,8.3,7.1,9.8,9.1,7.3,8.7,7.9,6.7,7.6,7.0
474,7.2,6.4,6.3,6.8,6.7,5.8,3.9,5.5,3.8,4.1,3.1,2.2
475,5.3,5.5,4.6,3.9,4.3,4.6,5.4,5.9,5.2,8.5,9.2,9.4
476,4.8,6.9,7.1,4.7,7.0,5.1,3.1,3.3,2.8,4.6,5.8,5.9
477,9.9,8.4,8.8,7.3,7.7,7.5,8.0,8.4,7.0,8.4,7.6,8.2
478,7.5,4.2,2.2,6.6,6.0,4.4,5.7,7.2,4.0,7.7,6.2,9.3
479,5.8,7.6,7.7,5.5,6.9,6.1,3.7,3.6,3.9,4.3,3.1,6.2
480,4.5,5.3,2.3,7.2,4.6,8.3,5.1,8.4,3.6,7.2,7.4,10.0
481,5.4,5.5,6.3,4.5,3.8,5.4,6.4,4.8,6.0,9.7,7.3,8.6
482,5.5,4.3,6.5,3.0,3.8,6.2,8.1,5.5,5.8,8.2,7.3,7.2
483,5.9,4.9,3.2,3.7,5.7,6.5,6.2,4.6,6.0,8.1,7.3,8.2
484,7.8,4.3,4.2,6.8,6.7,6.2,7.3,5.8,5.1,9.9,7.6,8.5
485,4.8,5.3,3.1,5.0,4.1,5.9,4.2,3.1,9.8,7.4,7.4,8.6
486,5.6,8.3,5.7,5.6,7.0,5.6,4.4,3.7,5.9,3.0,4.3,4.0
487,7.3,6.9,7.7,8.6,6.8,9.8,6.9,7.2,6.4,7.3,8.3,9.5
488,7.8,6.7,8.8,8.9,8.2,10.0,6.5,8.3,8.1,8.2,7.0,9.6
489,6.5,8.0,7.7,7.6,6.5,5.1,3.2,6.0,3.1,5.1,5.9,4.1
490,8.5,5.9,7.8,8.0,5.5,5.8,5.9,5.5,2.6,5.5,2.5,5.8
491,4.3,4.6,4.0,4.7,3.7,5.7,7.2,2.2,4.1,10.0,6.4,9.1
492,5.3,6.9,4.5,3.5,4.1,4.8,6.3,8.4,6.4,6.5,8.4,8.8
493,8.5,7.7,6.3,8.2,9.0,9.2,6.5,8.5,7.1,8.8,7.1,9.3
494,9.6,10.0,7.2,8.7,8.5,8.3,7.8,7.5,8.9,7.8,8.2,8.7
495,8.5,6.4,6.2,3.9,1.9,8.6,6.4,5.7,7.1,8.0,5.6,10.0
496,4.3,4.9,7.2,4.0,2.0,7.4,6.2,5.7,7.6,7.9,9.4,7.8
497,4.3,8.3,2.9,5.6,4.2,6.3,3.6,4.6,4.7,7.7,8.7,8.4
498,9.4,7.7,7.4,8.5,9.1,9.5,7.1,8.4,8.3,9.8,6.4,8.5
499,7.3,7.1,6.0,6.3,3.5,7.9,4.1,3.6,4.9,5.6,1.8,4.9
500,8.5,6.6,6.4,5.4,6.0,6.2,5.0,3.9,3.3,4.5,6.5,6.1
